ID;share_of_households_with_air_conditioning;homeownership_rate;average_household_age;share_of_population_under_4_years_old;share_of_population_over_64_years_old;unemployment_rate;share_of_superior_edu;percentage_overcrowded_households;building_state_of_conservation_index;main_heating_energy_source_share_of_electricity;main_heating_energy_source_share_of_wood_coal_and_other_solid_fuels;main_heating_energy_source_share_of_petroleum_diesel_and_other_liquid_fuels;main_heating_energy_source_share_of_gas;main_heating_energy_source_share_of_other
110654;0,190807598;0,548284175;1958,221266;0,039952221;0,287618269;0,09518843;0,270989847;7,836666667;4,599108229;0,794040887;0,011816732;0,004567203;0,098811077;0,000724953
110655;0,170094497;0,506061617;1953,806554;0,04043515;0,253390294;0,095784641;0,284983359;9,59;4,602898551;0,799444136;0,011450806;0,003668705;0,087937743;0,00077821
110656;0,107582809;0,415788372;1938,168825;0,041196727;0,251824472;0,12226439;0,224623258;12,11666667;4,232543641;0,735833561;0,007596496;0,003011224;0,068300027;0,000547495
110657;0,206763788;0,488706152;1956,969779;0,037225434;0,254936416;0,091604532;0,315375723;8,885;4,502468459;0,767013528;0,008116545;0,00603538;0,11082206;0,001248699
110658;0,138428648;0,619122481;1945,3965;0,045740561;0,265730881;0,084166442;0,295982575;9,89;4,654929577;0,699893105;0,031266702;0,007749866;0,127739177;0,002137894
110659;0,101506664;0,396675043;1939,55281;0,039195298;0,276491863;0,10734799;0,22920434;11,645;4,271417445;0,752752559;0,006760672;0,004829052;0,096291288;0,000869229
110660;0,138955548;0,408331426;1933,644495;0,047893482;0,238573132;0,103459119;0,266146661;12,44333333;4,462628409;0,716032453;0,013255628;0,00388527;0,11107302;0,000799909
110661;0,068778857;0,320676452;1917,388715;0,037335173;0,240800368;0,126206273;0,224317694;13,235;4,151857076;0,699410922;0,005413151;0,001592103;0,07053017;0,000477631
110662;0,171465874;0,719908246;1965,207795;0,087324614;0,100166468;0,083269016;0,363567182;14,815;4,353768844;0,700660042;0,008123595;0,002973816;0,090955248;0,016827446
110663;0,07409967;0,459511371;1946,180599;0,037115171;0,265241177;0,130930215;0,167876426;13,555;4,374848851;0,744682485;0,007217999;0,004069723;0,05114029;0,000537511
110664;0,077051726;0,448601399;1972,906471;0,06316726;0,14341637;0,176432946;0,138345196;19,365;4,221618357;0,674949229;0,031417991;0,003942181;0,064627882;0,0011946
110665;0,043818727;0,237765778;1924,621393;0,033068164;0,237794416;0,138307692;0,165028857;15,42833333;4,18744313;0,667444185;0,003165611;0,003332223;0,040486504;0,000499833
110666;0,12077119;0,400036483;1934,951833;0,039793849;0,247549848;0,10371491;0,288188577;10,1;4,420050761;0,740087304;0,0092761;0,004547108;0,101309567;0,000545653
110667;0,055147059;0,374865156;1931,900296;0,03755134;0,279809636;0,134048995;0,164352305;14,45333333;4,003558719;0,733738688;0,006928733;0,001979638;0,043552036;0,000565611
010103;0,058091286;0,836338419;1975,1585;0,041863942;0,17069524;0,091039085;0,064041864;8,85;4,656880734;0,09197787;0,822959889;0,04011065;0,024204703;0,004149378
010109;0,043664384;0,855308219;1978,966361;0,043278085;0,209023941;0,106258149;0,071209331;6,08;4,74235474;0,123287671;0,785958904;0,02739726;0,030821918;0,001712329
010112;0,043341214;0,841607565;1972,384124;0,045507927;0,208749266;0,12815534;0,047269524;7,33;4,767965895;0,118991332;0,827423168;0,024428684;0,010244287;0,001576044
010119;0,059069212;0,872238806;1973,508776;0,03916342;0,196227189;0,105562856;0,052901374;9,07;4,589020772;0,087708831;0,837708831;0,028042959;0,016706444;0,001193317
010121;0,060840922;0,75155159;1972,185305;0,041912198;0,184885091;0,105693431;0,100618739;8,9;4,655043295;0,268358845;0,591552025;0,02150746;0,056965704;0,001356326
010122;0,061170213;0,834813499;1979,333947;0,033966968;0,215643503;0,117792932;0,065752571;5,565;4,615212528;0,078900709;0,834219858;0,039893617;0,02570922;0,005319149
010123;0,035532995;0,957555178;1968,032468;0,036002483;0,253258845;0,065918654;0,0477964;6,41;4,637450199;0,045685279;0,922165821;0,015228426;0,003384095;0,001692047
010124;0,059174312;0,867768595;1977,473787;0,039098741;0,181080186;0,090389785;0,072067594;6,85;4,678742907;0,158715596;0,752293578;0,017431193;0,038990826;0,002752294
