NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA
PT16D;0101;010103;no;Aguada de Cima;Aguada de Cima;4013;28393100
PT16D;0101;010109;no;Fermentelos;Fermentelos;3258;8582000
PT16D;0101;010112;no;Macinhata do Vouga;Macinhata do Vouga;3406;31954400
PT16D;0101;010119;no;Valongo do Vouga;Valongo do Vouga;4877;43201100
PT16D;0101;010121;30/09/2013;Uni?o das freguesias de Águeda e Borralha;Uni?o das freguesias de Águeda e Borralha;13576;36029300
PT16D;0101;010122;30/09/2013;Uni?o das freguesias de Barrô e Aguada de Baixo;Uni?o das freguesias de Barrô e Aguada de Baixo;3209;10190100
PT16D;0101;010123;30/09/2013;Uni?o das freguesias de Belazaima do Ch?o, Castanheira do Vouga e Agad?o;Uni?o das freguesias de Belazaima do Ch?o, Castanheira do Vouga e Agad?o;1611;88090300
PT16D;0101;010124;30/09/2013;Uni?o das freguesias de Recard?es e Espinhel;Uni?o das freguesias de Recard?es e Espinhel;6036;19917800
PT16D;0101;010125;30/09/2013;Uni?o das freguesias de Travassô e Óis da Ribeira;Uni?o das freguesias de Travassô e Óis da Ribeira;2305;11121900
PT16D;0101;010126;30/09/2013;Uni?o das freguesias de Trofa, Segad?es e Lamas do Vouga;Uni?o das freguesias de Trofa, Segad?es e Lamas do Vouga;4630;16068100
PT16D;0101;010127;30/09/2013;Uni?o das freguesias do Préstimo e Macieira de Alcoba;Uni?o das freguesias do Préstimo e Macieira de Alcoba;808;41726400
PT16D;0102;010202;no;Alquerubim;Alquerubim;2381;15358600
PT16D;0102;010203;no;Angeja;Angeja;2073;21251700
PT16D;0102;010204;no;Branca;Branca;5621;30288600
PT16D;0102;010206;no;Ribeira de Fráguas;Ribeira de Fráguas;1713;26745400
PT16D;0102;010209;30/09/2013;Albergaria-a-Velha e Valmaior;Albergaria-a-Velha e Valmaior;10568;46996400
PT16D;0102;010210;30/09/2013;S?o Jo?o de Loure e Frossos;S?o Jo?o de Loure e Frossos;2896;18184200
PT16D;0103;010304;no;Avel?s de Caminho;Avel?s de Caminho;1252;6448700
PT16D;0103;010305;no;Avel?s de Cima;Avel?s de Cima;2185;40578000
PT16D;0103;010307;no;Moita;Moita;2484;34176100
PT16D;0103;010309;no;Sangalhos;Sangalhos;4068;16904200
PT16D;0103;010310;no;S?o Lourenço do Bairro;S?o Lourenço do Bairro;2414;15383100
PT16D;0103;010312;no;Vila Nova de Monsarros;Vila Nova de Monsarros;1713;23720400
