ID_norm,ID,NUTS3,municipality_id,parish_name,split_scope,split_role,cv_fold,split_label
010103,010103,PT16D,0101,Aguada de Cima,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010109,010109,PT16D,0101,Fermentelos,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010112,010112,PT16D,0101,Macinhata do Vouga,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010119,010119,PT16D,0101,Valongo do Vouga,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010121,010121,PT16D,0101,União das Freguesias de Águeda e Borralha,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010122,010122,PT16D,0101,União das Freguesias de Barrô e Aguada de Baixo,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010123,010123,PT16D,0101,"União das Freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010124,010124,PT16D,0101,União das Freguesias de Recardães e Espinhel,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010125,010125,PT16D,0101,União das Freguesias de Óis da Ribeira e Travassô,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010126,010126,PT16D,0101,"União das Freguesias de Trofa, Sedagães e Lamas do Vouga",all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010127,010127,PT16D,0101,União das Freguesias de Macieira de Alcoba e Préstimo,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010202,010202,PT16D,0102,Alquerubim,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010203,010203,PT16D,0102,Angeja,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010204,010204,PT16D,0102,Branca,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010206,010206,PT16D,0102,Ribeira de Fráguas,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010209,010209,PT16D,0102,Albergaria-a-Velha e Valmaior,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010210,010210,PT16D,0102,São João de Loure e Frossos,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
010304,010304,PT16D,0103,Avelãs de Caminho,all_territories_with_mainland_fixed_test,training,3,Training CV fold 4
